zaroni,location,total_sqft,society,status,transaction,furnishing,parking,bath,price
6569,2 BHK Apartment for Sale in Kandivali West Mumbai,,Orchid Suburbia,Ready to Move,Resale,Furnished,1 Covered,2,2.05 Cr 
6570,3 BHK Apartment for Sale in Kandivali West Mumbai,900 sqft,Satyasheel Chs,Ready to Move,Resale,Unfurnished,,3,1.60 Cr 
6571,2 BHK Apartment for Sale in Kandivali West Mumbai,795 sqft,Gabadia Heights,Ready to Move,New Property,Unfurnished,1 Covered,2,1.78 Cr 
6572,2 BHK Apartment for Sale in Kandivali West Mumbai,568 sqft,Parinee Essence,Ready to Move,Resale,Unfurnished,,2,1.30 Cr 
6573,1 BHK Apartment for Sale in Kandivali West Mumbai,420 sqft,Parinee Essence,Ready to Move,Resale,Unfurnished,,1,1 Cr 
6574,2 BHK Apartment for Sale in Kandivali West Mumbai,517 sqft,Bhoomi Shivam,ConstructionPoss. by Oct '24,New Property,Unfurnished,,2,1.55 Cr 
6575,2 BHK Apartment for Sale in Kandivali West Mumbai,620 sqft,Ruparel Optima,ConstructionPoss. by Dec '25,New Property,Unfurnished,1 Covered,2,1.34 Cr 
6576,1 BHK Apartment for Sale in Kandivali West Mumbai,378 sqft,Dimple Westwood,ConstructionPoss. by Mar '25,New Property,Unfurnished,,2,69 Lac 
6577,2 BHK Apartment for Sale in Kandivali West Mumbai,816 sqft,Anant Bhoomi,Ready to Move,Resale,Unfurnished,,2,3 Cr 
6578,1 BHK Apartment for Sale in Kandivali West Mumbai,378 sqft,Dimple Westwood,ConstructionPoss. by Dec '25,New Property,Unfurnished,"1 Covered,",1,78 Lac 
6579,1 BHK Apartment for Sale in Kandivali West Mumbai,404 sqft,Bhoomi Shivam,ConstructionPoss. by Dec '23,New Property,Semi-Furnished,1 Covered,2,1 Cr 
6580,1 BHK Apartment for Sale in Kandivali West Mumbai,,,Ready to Move,New Property,Unfurnished,1 Covered,2,1.30 Cr 
6581,5 BHK Apartment for Sale in Kandivali West Mumbai,1560 sqft,,Ready to Move,New Property,Semi-Furnished,,4,5.95 Cr 
